FileName,ObservedScore_Label,ObservedScore,CalculatedScore,Capacity_mAh,SOC_pct,MaxDisplacement,ForceRate,VoltageAtCollapse,MaxTemperature,TempRateOfRise,VoltageDifference,source,ts_voltage_initial,ts_voltage_final,ts_voltage_drop,ts_voltage_min,ts_voltage_mean,ts_voltage_std,ts_voltage_collapse,ts_temp_max,ts_temp_initial,ts_temp_rise,ts_temp_rate_max,ts_force_max,ts_force_mean,ts_force_final,ts_disp_max,ts_disp_final,ts_test_duration,dataset_type,session,session_type
Soteria-SCC-5070-70SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,5.0,5070,70.0,20.248953067368557,0.1830712839961052,11.238499999999998,,,,TR_V1,3.93,3.913,0.017000000000000348,3.909,3.9225153083863336,0.006341684505255988,0.0,26.74982,22.8372,3.9126200000000004,0.11474000000000117,6.713,-151.9151322289602,-158.351,,,586.211,thermal_runaway,,
OE-LFP10Ah-0SOC-cell9,"No effect, local heating, internal discharge – 2",2,13.79930022961686,10000,0.0,23.82037565516223,0.4955912411212921,0.3166666666666667,51.22771835327149,2.086699962615967,1.916,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP10Ah-0SOC-cell10,"No effect, local heating, internal discharge – 2",2,12.726911469804564,10000,0.0,22.75619250884386,0.4873856276273727,0.3166666666666667,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP10Ah-40SOC-cell7,"No effect, local heating, internal discharge – 2",2,27.125301083464088,10000,40.0,24.52783523255454,0.7641325175762177,12.666666666666668,57.590049743652344,3.217400074005127,0.0529999999999999,TR_V1,3.295,3.242,0.052999999999999936,3.196,3.2441050702504586,0.039110266023858135,0.0,57.59005,18.64687,38.94318,0.5574500000000029,9.867,-135.68748365913254,5.723,,,634.572,thermal_runaway,,
OE-LFP10Ah-40SOC-cell8,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,31.158563415458566,10000,40.0,27.99760504588561,1.327625036239624,12.666666666666668,,,,TR_V1,3.295,3.216,0.07899999999999974,3.156,3.224409291756092,0.045552152756187854,0.0,97.76741,18.22691,79.5405,0.8088500000000032,12.342,-90.54924087867694,10.548,,,780.671,thermal_runaway,,
OE-LFP10Ah-70SOC-cell5,"No effect, local heating, internal discharge – 2",2,36.96618682816962,10000,70.0,24.143983762217957,1.488869732618332,22.166666666666668,,,,TR_V1,3.302,3.266,0.03600000000000003,3.124,3.2644760879961736,0.037845334023861435,0.0,54.06875,16.78145,37.2873,1.0149699999999982,11.448,-149.71240530846487,6.927,,,667.925,thermal_runaway,,
OE-LFP10Ah-70SOC-cell6,"No effect, local heating, internal discharge – 2",2,34.307071925022726,10000,70.0,22.57594982864313,0.3977887630462646,22.166666666666668,,,,TR_V1,3.302,3.266,0.03600000000000003,3.246,3.272073778833107,0.024089136515956965,0.0,41.33279,17.02104,24.311750000000004,0.35949999999999704,11.462,-165.2532957937585,5.763,,,578.682,thermal_runaway,,
OE-LFP10Ah-80SOC-cell3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,39.22570984053784,10000,80.0,24.083961081387333,0.6417487591505051,25.333333333333336,53.5330810546875,2.7021000385284424,0.0590000000000001,TR_V1,3.331,3.271,0.06000000000000005,3.233,3.284681444549252,0.0383795397938317,0.0,53.53308,17.61598,35.9171,0.5168999999999997,10.707,-124.46500458159278,9.38,,,656.3,thermal_runaway,,
OE-LFP10Ah-80SOC-cell4,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,38.556029014151854,10000,80.0,23.54864590899305,0.5073831051588058,25.333333333333336,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-10Ahr-NMC-70SOC-cell7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,10000,70.0,31.17243349978093,24.78293800354004,66.5,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-10Ahr-NMC-80SOC-cell8,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,10000,80.0,31.17243349978093,29.480519199371336,126.66666666666669,150.24270629882812,124.12850189208984,3.962,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-10Ahr-NMC-80SOC-Cell9,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,10000,80.0,31.17243349978093,25.46501483917236,126.66666666666669,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
